No Intervention,School Closure,Intense Lockdown,Relax Intervention 1,Relax Intervention 2,Relax Intervention 3,Lockdown Level 2,Lockdown Level 3,Lockdown Level 5,Pre-christmas Level 3,Holiday period,After-christmas Level 5
1.181848468,2.022968792,0.142496836,0.065835362,0.178527869,0.401925183,0.482935116,0.339052841,0.163890431,0.701584081,0.757569132,0.019227991
0.990972697,2.128200484,0.159100545,0.070555903,0.133660072,0.424074275,0.441718659,0.324971175,0.174894838,0.609185487,0.930762248,0.022223631
0.893380028,2.217788557,0.154609735,0.052630058,0.154567748,0.43321717,0.440963627,0.306238341,0.177292957,0.774230703,0.575554733,0.03863919
1.039592104,2.116819429,0.167752965,0.049696055,0.156596683,0.411285726,0.448782287,0.323152108,0.126326422,1.031080369,0.677607138,0.009615493
0.833759712,2.31663954,0.152647964,0.047501244,0.145907403,0.461910918,0.382238193,0.346942976,0.131490486,1.043342389,0.705318748,0.027471237
0.858100619,2.308146766,0.161049833,0.053786366,0.132068715,0.411141862,0.49343749,0.318279869,0.165357083,0.755399914,0.788921776,0.006663514
0.891611404,2.175828925,0.162459338,0.074858281,0.100681039,0.453491017,0.432017272,0.337852484,0.144131349,0.80479923,0.704888524,0.058902255
0.737879695,2.433884738,0.160413449,0.076027054,0.151228648,0.383453007,0.488910511,0.327767046,0.149866251,0.815968256,0.776578664,0.008169983
1.189533415,2.039608261,0.146404248,0.06593773,0.191529877,0.386518236,0.518240204,0.290905283,0.159472589,0.756078514,0.783563293,0.011787426
1.049271363,2.153804333,0.148900219,0.052389228,0.16915367,0.416195868,0.465732901,0.341627429,0.148332739,0.736086595,0.728435084,0.02190169
1.290346266,1.924948501,0.138393519,0.059947778,0.211560177,0.423337245,0.427621563,0.323636603,0.177723843,0.717475099,0.855464834,0.004196467
1.266558956,1.844180867,0.156548398,0.045159476,0.210333002,0.422799973,0.425320038,0.318080249,0.159247391,0.787864161,0.796484463,0.013142581
1.330971016,1.996311938,0.15169926,0.033439864,0.142155164,0.438321776,0.437199545,0.366019393,0.11266708,0.903145492,0.766487183,0.008389837
1.044128306,2.143518192,0.153277483,0.065838212,0.168319128,0.426017797,0.440175855,0.316842915,0.125141133,0.939210988,0.716857299,0.020714335
1.396689586,1.837487,0.131141315,0.094544942,0.230696726,0.373613612,0.465893731,0.316201399,0.141964774,0.927615378,0.664733627,0.022643447
1.241970523,1.892608132,0.146114051,0.065049756,0.211297651,0.397254822,0.454867231,0.319510354,0.135213762,0.962782484,0.712705703,0.020674005
0.5728827,2.60944581,0.152087318,0.043318022,0.148744624,0.441571357,0.438560808,0.360485946,0.15152892,0.75012055,0.733835608,0.07266923
0.943752613,2.284918972,0.133395323,0.092948832,0.151930895,0.406860054,0.51059291,0.299025895,0.119481967,1.046829857,0.677920922,0.012077812
